22	1
12	1
23	1
24	1
12	1
23	1
11	1
23	1
24	1
23	1
11	1
12	1
03	1
12	1
22	1
24	1
13	1
23	1
12	1
11	1
11	1
12	1
11	1
03	1
23	1
22	1
03	1
03	1
21	1
21	1
13	1
03	1
24	1
13	1
11	1
22	1
21	1
12	1
22	1
13	1
22	1
12	1
13	1
23	1
21	1
23	1
12	1
21	1
13	1
13	1
22	1
13	1
13	1
21	1
11	1
11	1
12	1
23	1
24	1
23	1
11	1
03	1
13	1
11	1
12	1
11	1
21	1
22	1
22	1
11	1
12	1
11	1
12	1
13	1
12	1
11	1
23	1
23	1
21	1
23	1
23	1
03	1
03	1
12	1
24	1
13	1
13	1
13	1
23	1
03	1
03	1
12	1
13	1
11	1
21	1
13	1
23	1
11	1
24	1
12	1
24	1
03	1
11	1
11	1
22	1
13	1
22	1
21	1
22	1
24	1
13	1
23	1
23	1
13	1
21	1
24	1
12	1
11	1
23	1
13	1
21	1
23	1
12	1
03	1
12	1
11	1
22	1
22	1
